# coding: utf-8
# 小鹤音形用户词库（与系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，无需权重，如下（如想置于系统词“台湾”前，请把词条放到flypy_top文件内）：
# 
# 同文	tw
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment c-v to add tab
***REMOVED***
***REMOVED***
***REMOVED***
***REMOVED***
***REMOVED***
***REMOVED***
***REMOVED***
***REMOVED***
线程	xi
干什么	gume
前端	qmdr
后端	hzdr
***REMOVED***
-i http://mirrors.aliyun.com/pypi/simple/ --trusted-host mirrors.aliyun.com	pyjx	100
木有	muyz
事	ui
时间	uij
迫击炮	pjpc
功体比	gtbi
海淘	hdtc
佳明	jxmk
泡腾片	ptpm
迪卡侬	dkns
奥特曼	atmj
水平	uvp
小时	xu
格兰芬多	glfd
公路车	glie
终点	vsd
柯南	kenj
iPhone	iph
iPad	ipa
魔兽私服	musf
解耦	jpou
华为	hxw
龙泉山	lquj
刀剑神域	djuy
东郊记忆	djjy
杰森斯坦森	jpsf
货拉拉	hll
踏频	tapb
丼	djad
瓶颈	pkj
宕机	dhji
瓶颈期	pjqi
京东	jd
巧克力	qkl
旺仔	whzd
字幕	zimu
沙琪玛	uqm
世锦赛	ujsd
臂带	bidd
心率臂带	xlbd
手柄	ub
书籍	uuji
合集	heji
抖音	dzyb
任务	rfwu
酒精	jqjk
水深火热	uuhr
有氧	yzyh
无氧	wuyh
上限	uhxm
优质	yzvi
碳水	tjuv
配装	pwvl
曲柄	qubk
蜻蜓	qktk
气动	qids
消化	xnhx
神祇	ufqi
饱腹	bcfu
结痂	jpjx
割伤	geuh
吐司	tusi
速刷	suux
瘟疫	wfyi
精校	jkjn
史密斯	ums
幻痛	hrts
不锈钢	bxg
琥珀	hupo
距离	juli
食物	uiwu
备餐	bwcj
及时	jiui
坚果	jmgo
契约	qiyt
童话	tshx
股市	guui
码率	malv
新番	xbfj
番剧	fjju
助力	vuli
鸡肉	jirz
内啡肽	nftd
多巴胺	dban
筋膜	jbmo
藜麦	limd
华莱士	hxlu
公益	gsyi
经理	jkli
耗电	hcdm
徽章	hvvh
捷径	jpjk
终焉	vsyj
法师	faui
位面	wwmm
监狱	jmyu
